S/N,ENGLISH,OWERRI,UDI,IKWERE,NSUKA,EKPEYE,NGWA,IKA,AWKA
1,Head,iʃí,ísí,wí:ʃí,íʃí,íʃi,ísí,ísí,ísí
2,Eye,ãjã,ɛ́jã́,ã́jã́,ɛ̃́já,éplení,ã́jã́,ẽjã́,ãjã́
3,Ear,ntì,ntì,ńsĩ̀,ńtì,etè,ńtì,ntí,ntí
4,Nose,ímí,imi,ímí,ímí,émí,ímí,ímí,ímí
5,Mouth,ɔ̃́nu,ɔ́na,ɔ́:nú,ɔ́nú,únú,ɔ́nú,ɔ́nu,ɔ̀nú
6,Teeth,éze,ɛ́zɛ,ísíé,ízé,íʒe,ézé,éze,ézè
7,Tongue,í:ré,é:le,njújó,í:ré,ído,í:ré,í:ré,írè
8,Lip,ígbùrùgbɔ́:nu,ígbebìrɔ́:nu,gbélɔ́:nú,égbègbɔ́:nù,ù̀nùʒù,Ìgbèrìgbɔ́:nu,ùgbá ɔ́nu,ɛ́gbúgbè ɔ̀nú
9,Neck,ó:lú,o:nu,ílí,ó:nú,ɛ́kédì,ó:lú,ó:lú,ó:lú
10,Hand,á :ká,ɛ́:ká,háká,ɛ́:ká,ɛ́ká,á :ká,é:ká,á :ká
11,Finger,ìkpíʃìrákà,ìkpúrɛ́:ká,kpáká:ká,ńkpìrɛka,ùbɔ̀ ɛ́ká,Ìkpísìlá:kà,ǹkpísì é:ká,ḿbɔ́
12,Chest,ó:bì,ó:bì,nkpɔ́:má,óbù,ùnũ̀kùmá,ó:bì,óbì,ó:bì
13,Breast,á:rá,ɛ́:lá,rɛ́má,ɛ́:rá,émà,á:rá,érá,á:rá
14,Stomach,á:fɔ́,á:fɔ́,róhɔ́,έhᴐ̃̀,íwɔ́,á:fɔ́,é:fó,á:fɔ́
15,Lap,ǹkpátú:kú,àlà,m̀pámkpúɔ̀ʧí,àpàkiró:ku,ɔ̀gbó,àpàtù:kú,ɔ̀rú úkú,ɔgbodobɔ
