S/N,ENGLISH,dialect,word
1,Head,OWERRI,iʃí
2,Eye,OWERRI,ãjã
3,Ear,OWERRI,ntì
4,Nose,OWERRI,ímí
5,Mouth,OWERRI,ɔ̃́nu
6,Teeth,OWERRI,éze
7,Tongue,OWERRI,í:ré
8,Lip,OWERRI,ígbùrùgbɔ́:nu
9,Neck,OWERRI,ó:lú
10,Hand,OWERRI,á :ká
11,Finger,OWERRI,ìkpíʃìrákà
12,Chest,OWERRI,ó:bì
13,Breast,OWERRI,á:rá
14,Stomach,OWERRI,á:fɔ́
15,Lap,OWERRI,ǹkpátú:kú
16,Leg,OWERRI,ú:kú
17,Toe,OWERRI,ìkpíʃìru:kù
18,Penis,OWERRI,ámù
19,Vagina,OWERRI,ɔ́tũ̀
20,Liver,OWERRI,ìmè:ʤì
21,Elbow,OWERRI,úkwùáká or ntúákà
22,Shoulder,OWERRI,ńgùáká or íʃìmfù
23,Urine,OWERRI,mànjiri
24,Faeces,OWERRI,ǹʃí
25,One,OWERRI,wó:tù
26,Two,OWERRI,àbúɔ́
27,Three,OWERRI,à:tɔ́
28,Four,OWERRI,à:ná
29,Five,OWERRI,Ìsé
30,Six,OWERRI,ìʃí
31,Seven,OWERRI,à:sá
32,Eight,OWERRI,asátɔ
33,Nine,OWERRI,Ìtólu
34,Ten,OWERRI,Ìrí
35,Fifteen,OWERRI,irínì:sé
36,Nineteen,OWERRI,ìrí nì tòlu
37,Twenty,OWERRI,irí à:búɔ́ or ógu
38,Twenty-five,OWERRI,ìrí à:búɔ̀ nísé
39,Thirty,OWERRI,ìrí àtɔ́
40,Thirty-five,OWERRI,ìríà:tɔ̀ nìsé
41,Forty,OWERRI,ìríà:ná
42,Forty-five,OWERRI,ìríànánì:sé
43,Fifty,OWERRI,ìrínì:sé
44,Fifty-five,OWERRI,ìrí:sènì:sé
45,Hundred,OWERRI,úkú ìrì
46,Two-hundred,OWERRI,ìrí ìrí nàbúɔ́
47,Three-hundred,OWERRI,ìrí ìrí nátɔ́
48,Four-hundred,OWERRI,ìrí ìrínàná
49,Five-hundred,OWERRI,ìrí ìríní:sé
50,One-thousand,OWERRI,ótùkpúkú
51,Sleep,OWERRI,ñ́:rá
52,Sleeping,OWERRI,ín:ra
53,Eat,OWERRI,rèǐ
54,Eating,OWERRI,rè:rǐ
55,Stand,OWERRI,gùzóró or bìlíaɔ́tɔ́
56,Standing,OWERRI,gùzóró or kùlíélu
57,Sit,OWERRI,dú
58,Sitting,OWERRI,dú:alà
59,Go,OWERRI,ʤɛ̃̀má
60,Come,OWERRI,bj̀á
61,Walk,OWERRI,íʤè
62,Walking,OWERRI,iʤì iʤè
63,Jump,OWERRI,wɔ́
64,Jumping,OWERRI,wɔ̀má
